,organizations,label,score,link,summary
2,"['NAACOS', 'MS']",POSITIVE,0.989891529083252,CMS-2017-0120-0052, NAACOS is pleased to submit the attached comments in response to the CMS Proposed Rule: Medicare Program: Cancellation of Advancing Care Coordination through Episode Payment and Cardiac Rehabilitation Incentive Payment Models; Changes to Comprehensive Care for Joint Replacement Payment Model (CMS-5524-P)
5,"['SocietyofInterventionalRadiology', 'SIR', 'SIR']",POSITIVE,0.9978784322738647,CMS-2015-0075-0303," The Society of Interventional Radiology is a physician association of over 6,100 members . The SIR appreciates the opportunity to provide written comments on the ""Medicare Program: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems and Quality Reporting Programs"""
10,"['Hospice', 'SlowMedicine', 'Facebook']",NEGATIVE,-0.5252102613449097,CMS-2015-0081-1006," 70% of Americans have a chronic illness, yet only 44 Americans are cared for at the end of life by Hospice . 25%  of our Medicare dollars are spent in the last year of life and often focus on cure rather than care . We need to pay physicians who have honest conversations with patients about the trajectory of illness and what lies ahead ."
12,,POSITIVE,0.9995724558830261,CMS-2015-0075-0318, Please see the attached comments on behalf of The Biosimilars Forum .  Thank you for your review and consideration.    The Forum is happy to provide an update on the latest developments in our coverage of this week's coverage of the Biosmars Forum.
17,,POSITIVE,0.9988237619400024,CMS-2015-0075-0346, Thank you for the opportunity to provide the attached comments on the CY2016 outpatient prospective payment system proposed rule . The comments are being considered as part of the proposed rule of CY2016 . The proposed rule is the result of an independent review of the Medicare payment system for the first time in six years .
23,['TerumoBCT'],NEGATIVE,-0.9720023274421692,CMS-2015-0075-0223, Terumo BCT commented on the CY2016 Medicare Program: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems and Quality Reporting Program Proposed Rule (CMS-1633-P) Terumo's comments are part of the comment section of the proposed rule .
32,,NEGATIVE,-0.9444800615310669,CMS-2015-0075-0298," I believe that the one-midnight rule, submitted by Dr. Steven Meyerson, MD, would simplify the entire process . My vote is for simplification. I think it is time to step back and take a look at another issue that is creating high cost in healthcare ."
70,"['Radio', 'Radio']",NEGATIVE,-0.978658139705658,CMS-2015-0081-1762," Comment letter from Steven Seltzer, MD, Chair of Radiology, Brigham and Women's Hospital, Boston, MA, and Ramin Khorasani, MD . The comments are limited to paragraph G. of the Proposed Rules titled ""Appropriate Use Criteria for Advanced Diagnostic Imaging Services,"" promulgated under Section 218(b) of the Protecting Access to Medicare Act of 2014 ."
77,"['HomecareHomebase', 'HCHB', 'HHGM', 'CMS', 'HHGM']",POSITIVE,0.9857171773910522,CMS-2017-0100-1082, Homecare Homebase is a leading provider of technology to the home care and hospice industry . The failure to properly execute on a change of this magnitude could have a tremendously negative impact on providers and ultimately the vulnerable beneficiaries they serve . CMS should withdraw the HHGM proposal from the CY 2018 rule making process .
78,"['UPMCVisitingNurseAssociation', 'VNA']",POSITIVE,0.9996417164802551,CMS-2017-0100-1081, UPMC Visiting Nurse Association (VNA) appreciates the opportunity to work with CMS to improve the home health care benefit . CMS is working with U.P.C. Visiting Nurses Association to improve home care benefit for the home care of the visiting nurse .
83,['AmericanMedicalRehabilitationProvidersAssociation'],NEGATIVE,-0.8876201510429382,CMS-2017-0100-1128," Comments submitted on behalf of the American Medical Rehabilitation Providers Association (AMRPA) AMRPA is a member of the AMA . The AMA is the largest provider of rehab rehab facilities in the U.S., based in California, California and Washington, D.C., USA ."
84,,NEGATIVE,-0.9952985048294067,CMS-2017-0100-1162, This proposed Rate Update will crush rural communities in states with small populations . This proposal will also decrease the average patient's ability to receive and have access to care . Please see the attached document AGAINST this Proposal.  This proposed rate update will crush communities in rural communities .
89,,POSITIVE,0.9994322061538696,CMS-2015-0128-0198," There are unique challenges for ensuring high quality accessible and affordable care in rural communities across the nation . See attached file(s) for comment on benefit and payment parameters.  Please see attached comments.  There are . challenges for . ensuring high . quality accessible, affordable care . in rural areas across the country ."
90,"['CenterforPublicPolicyPriorities', 'CPPP', 'LightandSaltAssociation', 'TexasAssociationofCommunityHealthCenters', 'CentroMedMedicalClinics']",POSITIVE,0.9954237937927246,CMS-2015-0128-0207," The Center for Public Policy Priorities, Light and Salt Association, Texas Association of Community Health Centers, and CentroMed Medical Clinics appreciate the opportunity to comment on CMS-9937-P, ""Patient Protection and Affordable Care Act; HHS Notice of Benefit and Payment parameters for 2017"""
93,"['AmericanSocietyofTransplantSurgeons', 'ASTS', 'HHS']",POSITIVE,0.9912115335464478,CMS-2015-0128-0469," The American Society of Transplant Surgeons (ASTS) is pleased to have this opportunity to comment on the HHS Notice of Benefit and Payment parameters for 2017 . Two sets of comments are appended to this submission . The first attachment focuses on the those provisions of the Proposed Rule that address the network adequacy of Qualified Health Plans (QHPs) The second attachment focuses  on the patient cost sharing requirements that would be applicable to immunosuppressants under the ""standardized options"""
95,"['IllinoisHospitalAssociation', 'IHA', 'C', 'HHS', 'R', 'rewIllinoisHospitalAssociation']",NEGATIVE,-0.6238343119621277,CMS-2015-0128-0230," The Illinois Hospital Association (IHA) respectfully submits the attached comment on Proposed Rule: CMS-9937-P/RIN 0938-AS57 Patient Protection and Affordable Care Act: HHS Notice of Benefit and Payment Parameters for 2017 (Vol. 80, No. 231, December 2, 2015)"
98,['las'],POSITIVE,0.995861291885376,CMS-2015-0128-0412, Please find Astellas comments to the proposed rule for the Notice of Benefit and Payment parameters for 2017 attached . The proposed rule is the result of a proposed rule on the notice of benefit and payment parameters for the 2017 Notice of Benefits and Payment Parameters for 2017 . The proposal is subject to a public vote on whether or not to be made public .
99,,POSITIVE,0.9992403388023376,CMS-2015-0128-0393," National Latina Institute for Reproductive Health. Please find attached the comments of the NationalLatina Institute. For confidential support call the Samaritans on 08457 909090 or visit a local Samaritans branch, see www.samaritans.org for details. In the U.S. call the National Latin American Health Services on 1-800-273-8255 or visit http://www.nhs.org/ ."
106,"['CentersforMedicare&MedicaidServicesDepartmentofHealthandHumanServicesHubertH.Humphrey', 'AmericanCouncilonEducation', 'ACE', 'CentersforMedicare&MedicaidServices', 'CMS', 'DepartmentofHealthandHumanServices', 'HHS']",POSITIVE,0.5153051018714905,CMS-2015-0128-0280," The American Council on Education (ACE) and the other higher education associations listed therein, attached please find a letter in response to CMS Release No. 9937-P . The Centers for Medicare & Medicaid Services (CMS) of the Department of Health and Human Services (HHS) solicited comments on its proposed rule concerning the application of the Patient Protection and Affordable Care Act ."
108,"['HHS', 'FederalRegister', 'Fed']",POSITIVE,0.9742366075515747,CMS-2015-0128-0289," HHS Notice of Benefit and Payment Parameters for 2017 - Proposed Rule as Issued in the Federal Register on December 2, 2015 (80 Fed.Reg.Reg 75487) Attached, please find our comments on the proposed rule as issued in the federal Register .Thanks for your consideration ."
113,['CaliforniaHospitalAssociation'],NEGATIVE,-0.9797117114067078,CMS-2011-0062-0206," If you have any questions, please contact Alyssa Keefe at 202,488-488-4688 or akeefe@calhospital.org . Please find attached comments submitted by the California Hospital Association . In the comments, please share your thoughts with us at http://www.calhospital.org/"
116,"['InfectiousDiseasesSocietyofAmerica', 'IDSA']",NEGATIVE,-0.9804899096488953,CMS-2015-0081-2682," The Infectious Diseases Society of America (IDSA) has issued a comment letter on the Medicare Program . The letter is attached to the CMS-1631-FC [CMS-16 31-FC] If you have any questions, please feel free to contact Andres Rodriguez, IDSA's Director of Practice & Payment Policy, by email at arodriguez@idsociety.org ."
120,"['RUC', 'CMS', 'CMS', 'RUC', 'CMS']",NEGATIVE,-0.9939898252487183,CMS-2015-0081-2619, There appears to be a global period error for CPT code 10030 . The code was surveyed as a 000 global code and the RUC recommendation sent to CMS was based on a . 000 global assignment . Payment modifiers are consistent with a code that has a surgical global period assignment .
